Country;Year;gdp;mtr;gdp_growth_rate
AT;2015;49942,056293;0,8049;
BE;2015;46201,685891;1,18;
BG;2015;18391,834891;0,9715;
CH;2015;66020,20952;6,5723;
CY;2015;31815,186807;1,761;
CZ;2015;33909,309243;0,9862;
DE;2015;47609,557159;1,72;
DK;2015;49058,142344;0,8066;
EE;2015;29222,748082;1;
EL;2015;26760,152201;1,103;
ES;2015;34929,20969;1,09;
FI;2015;42490,211049;1,87;0,52447190648175175000
FR;2015;40829,893311;0,78;
HR;2015;23276,854884;0,8318;
HU;2015;26806,595306;0,5586;
IE;2015;69119,703929;2,6;6,3420216828727950
IS;2015;49203,294991;1,0297;
IT;2015;37206,331822;0,98;0,35732660966941350000
LT;2015;28834,457574;1,04;
LU;2015;107898,304236;0,97;
LV;2015;24975,479748;1,05;
MT;2015;37430,54205;0,4045;
NL;2015;50288,352815;1,861;
NO;2015;60352,716908;0,9692;
PL;2015;26534,723216;1,0493;
PT;2015;29660,845901;1,27;
RO;2015;21598,495969;0,96;
SE;2015;49103,0618;0,814;
SI;2015;31631,838376;1,14;
SK;2015;29972,9225;1,226;
UK;2015;42916,969653;0,9431;0,65007537499262600000
AT;2016;52665,087457;0,8049;
BE;2016;48599,202676;1,18;
BG;2016;20074,406431;0,9715;
CH;2016;68105,138178;5,9897;
CY;2016;35719,166224;1,0089;
CZ;2016;36101,285601;0,9979;
DE;2016;50579,483717;1,66;
DK;2016;51967,020438;0,7252;
EE;2016;31310,152103;1;
EL;2016;27511,777671;1,081;
ES;2016;37313,634913;1,09;
FI;2016;44934,488245;1,25;0,64810895983556475000
FR;2016;42855,944562;0,76;
HR;2016;25222,547701;0,8265;
HU;2016;27947,637585;0,5469;
IE;2016;71594,095685;2,6;2,2943191018960000
IS;2016;53486,615773;0,9904;
IT;2016;40267,222623;0,98;0,33286543982101875000
LT;2016;30925,151813;1,04;
LU;2016;112955,470175;0,97;
LV;2016;26724,459825;1,05;
MT;2016;39774,218127;0,4045;
NL;2016;52289,404292;1,861;
NO;2016;58923,240139;0,8032;
PL;2016;27985,340009;1,0062;
PT;2016;31607,610185;0,83;
RO;2016;24266,389694;0,96;
SE;2016;50430,174559;0,8138;
SI;2016;33942,76789;1,14;
SK;2016;29645,701303;1,226;
UK;2016;44610,565649;0,9418;0,55088357855145800000
AT;2017;54188,360666;0,8049;
BE;2017;50442,947518;1,18;
BG;2017;21470,001359;0,7158;
CH;2017;69103,567686;3,2987;
CY;2017;38288,138059;0,9987;
CZ;2017;38842,896268;0,9175;
DE;2017;53071,478374;1,1;
DK;2017;55356,49009;0,6358;
EE;2017;33867,803542;0,92;
EL;2017;28604,794575;1,072;
ES;2017;39580,188366;1,09;
FI;2017;47570,270354;1,25;-0,20124638400137825000
FR;2017;44445,59677;0,74;
HR;2017;27119,160852;0,8375;
HU;2017;29501,120486;0,5528;
IE;2017;77832,00899;0,82;1,7644255294771175
IS;2017;55638,491978;1,0084;
IT;2017;41951,466331;0,98;0,46685952891528150000
LT;2017;33761,906595;0,94;
LU;2017;114862,528755;0,97;
LV;2017;28689,57466;1,05;
MT;2017;43530,51147;0,4045;
NL;2017;55089,58143;1,861;
NO;2017;64050,366694;0,7193;
PL;2017;29714,590984;0,9798;
PT;2017;33044,70015;0,81;
RO;2017;27136,130672;0,96;
SE;2017;51947,942867;0,7061;
SI;2017;36517,579273;1,14;
SK;2017;30066,187534;1,226;
UK;2017;46385,63354;0,5788;0,44793771944235300000
AT;2018;56914,471695;0,8049;
BE;2018;52469,586991;0,99;
BG;2018;22957,230311;0,7158;
